Guardian-nsga-time,Guardian-moaco-time,Hydralisk2-nsga-time,Hydralisk2-moaco-time,Hydralisk3-nsga-time,Hydralisk3-moaco-time,Ultralisk-nsga-time,Ultralisk-moaco-time,zergling3-nsga-time,zergling3-moaco-time
36.1123,93.2744,24.0502,50.2957,48.6111,180.431,103.276,366.932,22.7348,126.682
26.2535,134.088,17.7212,54.6329,40.0572,304.199,94.8412,343.27,29.3964,135.612
26.5525,92.9839,15.3237,54.362,63.8907,189.893,81.6751,413.886,31.2083,161.456
23.3137,80.3978,18.6096,53.7232,66.808,213.977,110.121,358.938,26.8751,114.219
20.4892,74.1693,15.3262,63.8129,49.3909,185.914,86.7978,299.949,26.7325,138.691
28.256,122.487,16.9875,58.038,43.9748,183.318,115.828,242.637,38.4273,119.019
32.79,100.165,16.8666,53.7725,42.5895,206.307,75.9089,332.68,38.1456,123.025
30.4106,122.42,17.8088,60.5198,33.7942,269.83,68.6932,344.652,35.9011,141.134
23.902,141.572,18.3105,47.9217,41.5138,239.535,107.891,254.206,28.3895,128.654
35.7263,82.3127,24.4335,50.7414,37.0374,253.073,87.0225,248.841,31.4751,159.337
20.8544,101.755,16.0569,51.6942,58.3968,205.383,126.947,225.216,23.292,132.959
27.3651,163.807,18.4092,65.4663,41.9251,240.216,105.744,270.866,24.192,152.041
22.543,122.749,15.1679,53.8197,41.502,213.33,92.9711,281.877,31.8163,156.788
23.6688,139.198,25.1344,67.4365,53.7233,223.503,86.5212,255.008,33.0194,154.384
22.7925,88.4043,21.8258,57.3922,48.8325,201.242,94.5729,240.118,28.3744,124.083
29.5428,111.778,24.0521,57.8489,35.5467,257.519,127.002,246.858,26.4108,138.964
24.7396,116.471,19.36,53.7482,52.0069,175.758,118.755,217.907,13.1557,155.688
26.4867,137.657,21.0887,55.9164,47.1706,228.823,85.5654,263.512,20.6702,215.332
31.292,85.9939,10.8315,60.2611,50.2011,263.537,93.6784,248.693,34.8001,149.949
28.0278,116.956,21.0094,62.8351,59.9819,218.624,103.604,257.063,22.3039,140.331
24.1554,114.803,24.157,73.9122,37.3407,183.581,73.3755,260.513,26.6585,130.097
19.6822,100.621,26.3128,60.0469,34.7325,247.921,95.7573,240.827,33.6642,107.229
27.2323,148.329,18.8518,58.2468,23.7615,255.605,79.1883,198.22,38.6878,165.209
23.2105,138.568,15.8191,64.6231,56.3135,185.058,78.8056,229.463,45.1381,128.727
30.7092,101.638,17.9195,63.9527,48.5582,234.646,124.467,244.711,27.2442,113.152
32.2356,106.676,30.7338,63.5467,26.8326,197.984,72.4174,242.969,21.4698,149.044
24.3263,174.029,29.2513,56.1922,56.0089,203.905,99.9158,198.167,20.388,125.862
24.4566,126.336,21.6393,54.8233,36.8142,289.652,105.66,234.111,25.1323,158.405
23.9647,75.7129,16.0376,56.0843,40.1755,210.142,128.941,299.106,33.7768,135.895
20.292,103.528,17.7367,50.4173,68.2803,256.762,90.8859,215.263,37.4844,150.918
